title,region,version,crc32,status,notes
Sonic - Advanced Edit R1 by Rika Chou,,,6ABD2317,Works,,
Sonic - Advanced Edit R1beta by rika_chou,,,95722A42,Works,,
Sonic - Advanced Edit R2 by Rika Chou,,a1,99D4D6B8,Works,,
Sonic - Advanced Edit R2 by Rika Chou,,f1,6BEA89ED,Works,,
Sonic - Advanced Edit R2 by Rika Chou,,,E9665E74,Works,,
Sonic - Advanced Edition v3.0beta,,,19E2024D,Works,,
Sonic - Adventures v1.0beta,,,849581E7,Works,,
Sonic - Adventures v1.5beta,,,03E41D48,Works,,
Sonic - Adventures v2.0beta,,,B730D670,Works,,
Sonic - Aluminum Edition V1.9 by Dr. Eggfan,,,39B11952,Works,,
Sonic - Aluminum Edition V2.0 by Dr. Eggfan,,a1,ADEFEC81,Doesn't work,Black Screen,
Sonic - Aluminum Edition V2.0 by Dr. Eggfan,,,15CE7916,Works,,
Sonic - Aluminum Edition V3.1 by Dr. Eggfan,,,5D9CF080,Works,,
Sonic - Armageddon Game by xenoSonic,,,0DA56EC8,Works,,
Sonic - Armageddon Game v3.0.43 by xenoSonic,,,089C4840,Works,,
Sonic - Armageddon v2.9.00,,,9398B643,Works,,
Sonic - Ashura New Version,,,479FF4AC,Works,,
Sonic - Ashura Old Version,,,3736D032,Works,,
Sonic - Avatar Fan RAFed v0.01,,,87E7B1D3,Works,,
Sonic - Avatar Fan RAFed v0.02,,,7FE01EFC,Works,,
Sonic - Beginner's Luck v1.0 beta,,,07D1F13B,Works,,
Sonic - Beginner's Luck v2.0,,,EFF032DC,Works,,
Sonic - Beta Baton Remake by Jk.fox,,,C8D3E893,Has problems,No Sound,
Sonic - beta C,,,B771B354,Has problems,No sound,
Sonic - Beta Remake V0.01,,,45DD968A,Works,,
Sonic - Beta Remake V0.02,,,8EFB6DDD,Works,,
Sonic - Beta Remake V0.03,,,B95E9DD9,Works,,
Sonic - Beta Remake V0.03b1,,,D0CA93F4,Works,,
Sonic - Beta Remake V0.03b2,,,84F9E2AF,Works,,
Sonic - Beta Remake V0.04,,,D08B31B8,Works,,
Sonic - Boss Edition,,,A0057C09,Works,,
Sonic - Longjumps and Trained,,,0C2EC4A5,Doesn't work,Redscreen,
Sonic 2 & Knuckles - Long Version,,1.7,7BFB84C6,Works,,
Sonic 2 & Knuckles - Long Version,,1.7b,38023429,Works,,
Sonic 2 & Knuckles - Long Version with Knuckles,,1.7,4F32F222,Works,,
Sonic 2 and Knuckles Long Version,,1.8,4B024D26,Works,,
Sonic 2 and Knuckles Long Version,,1.8 [a1],F1D07A8A,Works,,
Sonic 2 CD Remix,,compo2018,5B903313,Works,,
Sonic 2 CD Remix,,Correct chksum,6FCCDD0D,Works,,
