title,region,version,versiondate,crc32,status,notes,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-19,07C9F71F,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-17,E1855ADE,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-23,913887B7,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-26,D33C0FA4,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-30,9C3BF429,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-06-02,83CF19E4,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-06-10,A748E2CF,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-07-09,BF6AA405,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-07-16,C84AAD8E,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-07-20,ABEE4C5E,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-08-01,B7CD465C,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-08-02,383AD564,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-08-03,18F268A6,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-08-05,24159B6F,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-08-08,58B6B0FC,Works,,,,,,,,,,,,,,,,,,
Best of the Best - Championship Karate,Europe,Proto,,F842240B,Works,Downscaled Screen,,,,,,,,,,,,,,,,,
Beyond Oasis,USA,Beta,1994-11-01,FA59F847,Works,,,,,,,,,,,,,,,,,,
Beyond Zero Tolerance,USA,Proto,,C61ED2ED,Doesn't work,First Time: E3 Please shutdown. Second Time: E4 Shutdown,,,,,,,,,,,,,,,,,
Bill's Tomato Game,USA,Proto,,0E1F263F,Works,,,,,,,,,,,,,,,,,,
Bio Hazard Battle,"USA, Europe",Beta,,DD10DD1A,Works,,,,,,,,,,,,,,,,,,
Blaster Master 2,USA,Beta,,08F78C70,Works,,,,,,,,,,,,,,,,,,
Body Count,Europe,Beta,,B4FFB6CE,Works,,,,,,,,,,,,,,,,,,
Body Count,Brazil,Beta,1994-01-27,66CA4E71,Works,"Autodetects as (E), but force USA region or it will region lock",,,,,,,,,,,,,,,,,
Body Count,Brazil,Beta,1994-02-08,C5FED897,Works,,,,,,,,,,,,,,,,,,
Body Count,Brazil,Beta,1994-03-08,8965213F,Works,,,,,,,,,,,,,,,,,,
Body Count,Brazil,Beta,1994-03-03,6ABC6E77,Works,,,,,,,,,,,,,,,,,,
Bonkers,"USA, Europe",Beta,1994-03-03,E4CD0D61,Has problems,Backgrounds do not seem to tile correctly.,,,,,,,,,,,,,,,,,
Bonkers,"USA, Europe",Beta,1994-03-28,CD67C588,Works,,,,,,,,,,,,,,,,,,
Bonkers,"USA, Europe",Beta,1994-08-04,913CC834,Works,,,,,,,,,,,,,,,,,,
Bonkers,"USA, Europe",Beta,1994-08-25,3E5EDC4F,Works,,,,,,,,,,,,,,,,,,
Bonkers,"USA, Europe",Beta,1994-08-29,7B84793E,Works,,,,,,,,,,,,,,,,,,
Bubba N Stix,Europe,Beta,,A8731CB4,Unplayable,Weird background effects. Garbled.  No way.,,,,,,,,,,,,,,,,,
Budokan - The Martial Spirit,USA,Beta v1.1,1990-09-25,43532E3D,Works,,,,,,,,,,,,,,,,,,
Captain America and the Avengers,USA,Beta,,BAAC59C0,Works,,,,,,,,,,,,,,,,,,
Castlevania - Bloodlines,USA,Beta,1993-08-04,CA0DF45B,Works,,,,,,,,,,,,,,,,,,
"Chaos Engine 2, The",Europe,Proto,,3FB045C2,Works,,,,,,,,,,,,,,,,,,
Chuck Rock II - Son of Chuck,USA,Beta,,D6A3B324,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-04-13,D9772DEF,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-04-18,E0A1705F,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-04-19,D5FE66C3,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-04-29,99DA1973,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-03,DB1A3F66,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-06,0A538E75,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-11,CE65B294,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-17,8CFD4C86,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-20,F285385E,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-25,482E334A,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-05-31,C6766745,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-01,994DBC8F,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-03,9CA29321,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-07,B40B791E,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-08,D008DEBC,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-14,ECEF7DE7,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-15,C7E5A998,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-18,74988A9D,Works,,,,,,,,,,,,,,,,,,
College Football's National Championship,USA,Beta,1994-06-20,898C17FA,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-04-04,2EFCB6EE,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-05-26,36029A1F,Has problems,cant exit intro level,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-05-30,A72ECA2C,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-06-01,BA506835,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-06-02,B5F0DAE5,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta,1995-06-03,AFF32614,Works,,,,,,,,,,,,,,,,,,
Comix Zone,Europe,Beta,1995-06-28,939EFD4C,Works,Force PAL Region or it will region lock,,,,,,,,,,,,,,,,,
Comix Zone,Europe,Beta,1995-07-12,E28C89C1,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta Alt 1,1995-06-02,1A4ABCF3,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta Alt 1,1995-06-01,BBE03CB6,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta Alt 2,1995-06-01,413B9A94,Works,,,,,,,,,,,,,,,,,,
Comix Zone,USA,Beta Alt 3,1995-06-01,9AE93C9D,Works,,,,,,,,,,,,,,,,,,
Congo - The Game,USA,Proto,,13746716,Works,,,,,,,,,,,,,,,,,,
Cool Spot,USA,Beta,,0EBAA4A8,Works,,,,,,,,,,,,,,,,,,
CrossFire,USA,Sample,,FF9E9F45,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-05-11,EAC9D74B,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-05-19,DC50B741,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-05-26,A2EABA55,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-01,14C6347C,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-06,83E8CAC9,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-10,9E1DD267,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-23,4CCC19AF,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-28,03BE7F66,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-06-30,DD8C73FB,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-07-01,16AC2E4F,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-07-02,24BC4354,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-07-03,6D67A87C,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-07-12,3577DC72,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta Alt 1,1994-07-12,2BFC0A53,Works,,,,,,,,,,,,,,,,,,
Crystal's Pony Tale,USA,Beta,1994-07-13,C67B6DBA,Works,,,,,,,,,,,,,,,,,,
Curse,USA,Proto Sega Channel,1990-06-26,DEE8876D,Works,Plays slow,,,,,,,,,,,,,,,,,
CutThroat Island,"USA, Europe",Beta,,7F4939F2,Works,,,,,,,,,,,,,,,,,,
Daffy Duck in Hollywood,Europe,Beta,,0EAA4740,Works,,,,,,,,,,,,,,,,,,
Daisenpuu ~ Twin Hawk,"Japan, Europe",Beta,1990-04-06,DDE94356,Has problems,No Sound,,,,,,,,,,,,,,,,,
Danny Sullivan's Indy Heat,USA,Proto,,0E356A3C,Works,,,,,,,,,,,,,,,,,,
Darwin 4081,"Japan, Korea",Beta,1990-02-21,DB68D1AC,Works,,,,,,,,,,,,,,,,,,
Dashin' Desperadoes,Europe,Proto,,98D224A5,Has problems,Graphical Glitching,,,,,,,,,,,,,,,,,
Dashin' Desperadoes,USA,Beta,,B573E63A,Has problems,Graphical glitching in 2p Splitscreen area,,,,,,,,,,,,,,,,,
David Robinson Basketball,Japan,Beta,1992-04-15,875BB1A0,Works,,,,,,,,,,,,,,,,,,
Davis Cup II,USA,Proto,1994-07-28,76F2BED8,Works,,,,,,,,,,,,,,,,,,
Davis Cup II,Europe,Proto,1994-07-10,51C839E7,Works,,,,,,,,,,,,,,,,,,
